Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0
28.0,Female,Master's,Data Analyst,3.0,65000.0
29.0,Male,Master's,Software Developer,3.0,75000.0
39.0,Male,PhD,Senior Engineer,12.0,115000.0
30.0,Male,Bachelor's,IT Support,2.0,50000.0
37.0,Female,Master's,Software Manager,11.0,110000.0
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0
29.0,Male,Master's,Data Scientist,3.0,75000.0
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0
34.0,Female,Master's,UX Designer,5.0,80000.0
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0
27.0,Female,Master's,UX Researcher,2.0,65000.0
43.0,Male,PhD,Senior Engineer,17.0,140000.0
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0
46.0,Male,Bachelor's,IT Manager,19.0,120000.0
33.0,Male,Bachelor's,Web Developer,6.0,65000.0
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0
41.0,Female,Master's,Data Analyst,13.0,80000.0
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0
44.0,Male,PhD,Chief Data Officer,16.0,220000.0
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0
48.0,Male,PhD,Principal Engineer,20.0,170000.0
34.0,Male,Master's,Senior Software Developer,8.0,105000.0
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0
32.0,Male,Bachelor's,Software Engineer,7.0,115000.0
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0
44.0,Female,PhD,Senior UX Designer,15.0,145000.0
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
35.0,Male,Master's,Senior Software Developer,9.0,110000.0
27.0,Female,Master's,Junior UX Designer,1.5,45000.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
37.0,Male,Master's,Senior Software Architect,9.0,120000.0
45.0,Male,Master's,Senior Software Developer,16.0,140000.0
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
32.0,Male,Bachelor's,Software Engineer,7.0,115000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
31.0,Male,Master's,Data Scientist,6.0,160000.0
28.0,Female,Bachelor's,Software Engineer,3.0,125000.0
27.0,Female,Bachelor's,Data Analyst,2.0,110000.0
30.0,Male,PhD,Data Scientist,5.0,180000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
